item_id,item_title,avg_price,popularity,n_interactions
10002,inflatable political globe,0.84,787,302
10080,groovy cactus inflatable,0.51,64,27
10109,bendy colour pencils,0.42,2,1
10120,doggy rubber,0.21,149,62
10123C,hearts wrapping tape,0.62,93,46
10123G,army camo wrapping tape,0.56,25,13
10124A,spots on red bookcover tape,0.42,35,18
10124G,army camo bookcover tape,0.42,19,9
10125,mini funky design tapes,0.82,298,126
10133,colouring pencils brown tube,0.66,555,203
10134,colouring pencils brown tube,1.24,114,50
10135,colouring pencils brown tube,1.22,640,252
10138,assorted colour jumbo pen,0.42,44,16
11001,asstd design racing car pen,1.73,487,183
15030,fan black frame,0.29,73,27
15034,paper pocket traveling fan,0.14,498,173
15036,assorted colours silk fan,0.77,1897,635
15039,sandalwood fan,0.83,459,182
15044A,pink paper parasol,2.96,444,194
15044B,blue paper parasol,2.92,332,148
15044C,purple paper parasol,2.93,334,161
15044D,red paper parasol,2.93,429,190
15056BL,edwardian parasol black,5.79,1746,799
15056N,edwardian parasol natural,5.79,1943,866
15056P,edwardian parasol pink,5.84,652,322
15058A,blue white spots garden parasol,7.19,211,107
15058B,pink white spots garden parasol,7.49,165,91
15058C,ice cream design garden parasol,6.6,142,71
15059A,english rose edwardian parasol,3.0,3,1
15060B,fairy cake design umbrella,3.77,525,274
16008,small folding scissor(pointed edge),0.16,238,85
16010,folding camping scissor w/knif & s,0.12,11,4
16011,animal stickers,0.21,324,112
16012,food/drink spunge stickers,0.21,245,83
16014,small chinese style scissor,0.39,249,92
16015,medium chinese style scissor,0.49,178,65
16016,large chinese style scissor,0.84,295,105
16020C,clear stationery box set,0.85,46,25
16033,mini highlighter pens,0.12,145,49
16043,pop art push down rubber,0.31,31,12
16044,pop-art fluorescent pens,0.24,6,2
16045,popart wooden pencils asst,0.05,219,73
16046,teatime pen case & pens,0.75,98,48
16047,pop art pen case & pens,0.78,53,23
16048,teatime round pencil sharpener,0.19,192,70
16049,teatime gel pens asst,0.28,75,25
16050,teatime pencil with rubber,0.25,10,4
16051,teatime pencil w stamp asst,0.3,9,3
16052,teatime push down rubber,0.39,61,21
16053,popart col ballpoint pen asst,0.16,24,8
16054,popart rect pencil sharpener asst,0.16,99,37
16119,funky girl address book,1.0,17,7
16151A,flower des blue handbag/orang handl,2.25,10,5
16156L,"wrap, carousel",0.42,108,36
16156N,"wrap, friendship on green",0.42,165,55
16156S,wrap pink fairy cakes,0.42,1251,417
16161C,wrap speed demons,0.1,6,2
16161E,wrap boudoir,0.1,27,9
16161G,wrap bad hair day,0.1,99,33
16161M,wrap  pink flock,0.42,117,39
16161P,wrap english rose,0.42,1318,440
16161U,"wrap,suki and friends",0.42,949,317
16162L,the king gift bag,0.52,43,17
16162M,the king gift bag 25x24x12cm,0.42,31,12
16168M,funky monkey gift bag medium,0.39,143,53
16168S,funky monkey gift bag small,0.18,21,7
16169A,wrap christmas decoupage,0.42,3,1
16169C,wrap blue reindeer,0.42,129,43
16169D,wrap winter forest,0.42,27,9
16169E,wrap 50's  christmas,0.42,448,150
16169F,wrap blizzard,0.42,102,34
16169G,wrap romantic decoupage,0.42,3,1
16169K,wrap folk art,0.36,177,59
16169M,wrap daisy carpet,0.35,180,60
16169N,wrap blue russian folkart,0.35,168,56
16169P,wrap green russian folkart,0.36,144,48
16201A,pastel pink photo album,2.55,21,8
